,open,close,high,low,volume,money
2017-02-20,159.78,159.87,159.87,159.7,44315600.0,447362146.0
2017-02-21,159.89,159.88,159.9,159.84,38506400.0,388109721.0
2017-02-22,159.89,159.94,159.96,159.89,43709700.0,436154588.0
2017-02-23,159.96,159.93,159.98,159.92,20004100.0,202027723.0
2017-02-24,159.95,159.93,159.96,159.87,17192900.0,173660558.0
2017-02-27,159.97,160.02,160.04,159.96,14467700.0,145874783.0
2017-02-28,160.04,160.02,160.04,160.0,21028300.0,211421699.0
2017-03-01,160.04,160.01,160.06,160.01,22823800.0,231338167.0
2017-03-02,160.03,159.99,160.03,159.99,16503600.0,167461956.0
2017-03-03,160.01,160.01,160.02,159.98,11105000.0,112280647.0
2017-03-06,160.05,160.03,160.05,160.0,16360000.0,165034158.0
2017-03-07,160.04,160.05,160.07,160.04,29259600.0,300465574.0
2017-03-08,160.06,160.07,160.08,160.06,11551600.0,116731937.0
2017-03-09,160.08,160.03,160.08,160.03,23072100.0,235065519.0
2017-03-10,160.05,160.03,160.05,160.02,14905500.0,149234757.0
2017-03-13,160.07,160.07,160.07,160.0,19941000.0,197383715.0
2017-03-14,160.09,160.09,160.09,160.08,23240600.0,236893059.0
2017-03-15,160.1,160.08,160.11,160.04,6068700.0,62035631.0
2017-03-16,160.09,160.08,160.11,160.07,37202300.0,371696540.0
2017-03-17,160.1,159.99,160.1,159.98,7349800.0,73916846.0
2017-03-20,160.04,160.03,160.07,159.97,14669200.0,149000182.0
2017-03-21,160.04,160.03,160.06,160.02,11154200.0,111092831.0
2017-03-22,160.05,160.01,160.05,159.99,27838100.0,279834918.0
2017-03-23,160.02,160.04,160.04,159.97,14622200.0,145348346.0
2017-03-24,160.05,160.09,160.09,160.0,27131600.0,275878756.0
2017-03-27,160.14,160.16,160.17,160.08,39497900.0,397658773.0
2017-03-28,160.18,160.1,160.19,160.04,27870700.0,282428078.0
2017-03-29,160.11,160.16,160.17,160.1,32901200.0,331843559.0
2017-03-30,160.18,160.17,160.19,160.16,5354300.0,53133049.0
2017-03-31,160.18,160.18,160.19,160.14,7500400.0,75541168.0
2017-04-05,160.25,160.27,160.3,160.25,16704800.0,167984614.0
2017-04-06,160.28,160.31,160.31,160.18,8590900.0,87804075.0
2017-04-07,160.32,160.37,160.39,160.32,19357600.0,195663026.0
2017-04-10,160.42,160.46,160.46,160.39,11180700.0,113807110.0
2017-04-11,160.48,160.44,160.48,160.41,16384500.0,164723125.0
2017-04-12,160.45,160.44,160.46,160.42,12133500.0,124097190.0
2017-04-13,160.45,160.5,160.5,160.44,15106700.0,154398822.0
2017-04-14,160.51,160.51,160.52,160.48,10412700.0,105863136.0
2017-04-17,160.56,160.51,160.56,160.5,19261400.0,195092472.0
2017-04-18,160.52,160.53,160.53,160.45,19592800.0,199102025.0
2017-04-19,160.54,160.51,160.55,160.49,9787000.0,99206915.0
2017-04-20,160.52,160.49,160.53,160.43,7756200.0,78311130.0
2017-04-21,160.5,160.52,160.52,160.44,15022800.0,150556846.0
2017-04-24,160.57,160.55,160.58,160.54,12998900.0,131469423.0
2017-04-25,160.57,160.6,160.6,160.55,16363600.0,165575378.0
2017-04-26,160.61,160.58,160.61,160.56,26973500.0,273398623.0
2017-04-27,160.6,160.61,160.61,160.58,10779200.0,108647289.0
2017-04-28,160.62,160.61,160.63,160.59,4582700.0,44828436.0
2017-05-02,160.67,160.66,160.68,160.66,15518300.0,158167868.0
2017-05-03,160.67,160.66,160.67,160.65,5846100.0,59488499.0
2017-05-04,160.68,160.64,160.68,160.62,23892800.0,241833357.0
2017-05-05,160.65,160.64,160.69,160.62,9515700.0,95444575.0
2017-05-08,160.68,160.64,160.69,160.61,9809800.0,98481919.0
2017-05-09,160.65,160.64,160.67,160.61,17134300.0,168444104.0
2017-05-10,160.65,160.49,160.67,160.47,8177700.0,81549173.0
2017-05-11,160.51,160.41,160.52,160.32,23402800.0,231693313.0
2017-05-12,160.43,160.33,160.44,160.3,21693300.0,215869853.0
2017-05-15,160.37,160.09,160.38,160.09,16053300.0,158679880.0
2017-05-16,160.11,160.3,160.38,160.1,12243300.0,121466819.0
2017-05-17,160.31,160.21,160.32,160.19,15313100.0,152107087.0
2017-05-18,160.22,160.22,160.23,160.2,14349800.0,142001086.0
2017-05-19,160.23,160.18,160.23,160.16,11908900.0,118502004.0
2017-05-22,160.23,160.11,160.25,160.11,26655900.0,262897081.0
2017-05-23,160.12,160.14,160.15,160.1,8385000.0,81850538.0
2017-05-24,160.15,160.08,160.16,160.05,7863500.0,77389442.0
2017-05-25,160.1,160.07,160.11,160.02,16963400.0,166866708.0
2017-05-26,160.08,159.91,160.09,159.86,7907700.0,75296851.0
2017-05-31,159.98,160.15,160.15,159.98,9799300.0,97486991.0
2017-06-01,160.17,160.15,160.17,160.15,13429100.0,133692927.0
2017-06-02,160.17,160.19,160.19,160.17,14757200.0,149010214.0
2017-06-05,160.23,160.23,160.31,160.21,11015800.0,108714492.0
2017-06-06,160.24,160.15,160.25,160.15,9846400.0,98657549.0
2017-06-07,160.16,160.22,160.26,160.12,7299700.0,72437923.0
2017-06-08,160.24,160.19,160.41,160.14,9662900.0,94330671.0
2017-06-09,160.2,160.21,160.25,160.19,5648300.0,55508711.0
2017-06-12,160.26,160.28,160.37,160.24,44188400.0,436682228.0
2017-06-13,160.3,160.31,160.35,160.1,17508100.0,168567135.0
2017-06-14,160.32,160.35,160.37,160.29,25266400.0,252037954.0
2017-06-15,160.37,160.33,160.39,160.32,56449200.0,566482220.0
2017-06-16,160.35,160.41,160.41,160.35,17288400.0,169671933.0
2017-06-19,160.46,160.49,160.51,160.46,34465800.0,335065942.0
2017-06-20,160.5,160.48,160.58,160.48,30844000.0,295598839.0
2017-06-21,160.5,160.5,160.51,160.48,9653800.0,96018761.0
2017-06-22,160.52,160.49,160.52,160.49,15706800.0,155503612.0
2017-06-23,160.51,160.47,160.52,160.46,11538900.0,114817532.0
2017-06-26,160.52,160.38,160.54,160.37,14567700.0,146300059.0
2017-06-27,160.4,160.38,160.44,160.23,15350900.0,153793501.0
2017-06-28,160.4,160.44,160.44,160.39,15909000.0,158689577.0
2017-06-29,160.45,160.42,160.47,160.41,16114100.0,161281608.0
2017-06-30,160.43,160.41,160.43,160.41,10438600.0,104761241.0
2017-07-03,160.46,160.47,160.55,160.4,9800600.0,96052737.0
2017-07-04,160.49,160.37,160.51,160.32,12346400.0,123745330.0
2017-07-05,160.39,160.37,160.39,160.33,14187600.0,141161346.0
2017-07-06,160.38,160.42,160.42,160.38,19095000.0,191001681.0
2017-07-07,160.43,160.45,160.45,160.43,12943300.0,129442680.0
2017-07-10,160.49,160.42,160.49,160.41,15009600.0,151277605.0
2017-07-11,160.43,160.38,160.43,160.35,18766300.0,188125931.0
2017-07-12,160.4,160.39,160.41,160.36,23515100.0,237212429.0
2017-07-13,160.41,160.39,160.43,160.39,24055600.0,242859900.0
2017-07-14,160.41,160.41,160.41,160.37,15381300.0,155223229.0
2017-07-17,160.45,160.43,160.46,160.43,32500500.0,325801111.0
2017-07-18,160.44,160.42,160.44,160.41,27342900.0,275045585.0
2017-07-19,160.44,160.43,160.46,160.41,29058900.0,293561335.0
2017-07-20,160.45,160.42,160.45,160.41,20698900.0,209379259.0
2017-07-21,160.45,160.4,160.46,160.4,31305100.0,313990518.0
2017-07-24,160.45,160.46,160.47,160.42,31075000.0,310060727.0
2017-07-25,160.48,160.43,160.48,160.42,24371800.0,244772426.0
2017-07-26,160.44,160.41,160.44,160.4,14151700.0,142284271.0
2017-07-27,160.42,160.33,160.44,160.32,21668900.0,218083242.0
2017-07-28,160.34,160.34,160.35,160.34,26235800.0,263970430.0
2017-07-31,160.39,160.36,160.39,160.34,16842400.0,170304357.0
2017-08-01,160.38,160.25,160.38,160.23,28178800.0,282438864.0
2017-08-02,160.27,160.47,160.47,160.26,14753400.0,147369278.0
2017-08-03,160.49,160.36,160.49,160.27,20769700.0,205358097.0
2017-08-04,160.37,160.29,160.38,160.28,16339100.0,162932918.0
2017-08-07,160.34,160.34,160.34,160.33,26879700.0,267671518.0
2017-08-08,160.36,160.29,160.36,160.29,17320100.0,172251179.0
2017-08-09,160.31,160.3,160.31,160.3,10441300.0,102748128.0
2017-08-10,160.32,160.26,160.33,160.25,11996100.0,118310313.0
2017-08-11,160.27,160.33,160.33,160.24,23467100.0,235600626.0
2017-08-14,160.38,160.34,160.42,160.34,21558700.0,215171247.0
2017-08-15,160.36,160.54,160.54,160.35,14647700.0,147414604.0
2017-08-16,160.56,160.58,160.58,160.51,5879500.0,58108424.0
2017-08-17,160.59,160.57,160.6,160.57,14434100.0,143734376.0
2017-08-18,160.59,160.58,160.59,160.58,8156100.0,78589018.0
2017-08-21,160.63,160.56,160.63,160.56,7628000.0,73075133.0
2017-08-22,160.58,160.57,160.61,160.54,14555800.0,142098187.0
2017-08-23,160.59,160.56,160.62,160.54,6019800.0,58948664.0
2017-08-24,160.57,160.54,160.58,160.53,11041600.0,107002541.0
2017-08-25,160.56,160.52,160.59,160.5,9201700.0,86947874.0
2017-08-28,160.56,160.57,160.58,160.54,11030000.0,104877742.0
2017-08-29,160.59,160.57,160.61,160.57,7662200.0,76302457.0
